input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
238670714163992192,,238670714163992192,Gaia DR2 238670714163992192,53.99317590548324,44.6362669746095,151.2222426282455,-9.010193998050372,62.616806903400885,24.560457037292103,5.591158542945969,20.384278402610907,-25.02547449934772,18.050283,19.506813,16.663174,0.14498130830980957,0.1066688535824659,0.19119176129509757,0.346440107636231,0.2823640944910535,,,,437.02286,0.7986176464775485,6.428158520327683,6.098056,32,3,275,0,278,31,false,1.2639366493889816,0.02973148532550062,0.3119819,0.5639145,1.4565296,2.8436394,-0.14465877,0.19570766,0.06079506,false,,,,,0,1.3871098,,,,34,-0.040625457,29.243721,0.013011714,0.1470945,217.6857914437483,15.368678940959025,14.164248,30,1.7201909,1135.6191903158722,1.547300095556017,733.936,290,0,1735.7960244913809,11.79993779762025,147.10213,32,NOT_AVAILABLE,0.13728453,,0.23659569,,,,,,353869523,0.1612769,0.13276225,-0.072107255,2015.5,0,,,,1635721458409799680,,,,14,Gaia DR1 238670714163992192
242382978955416960,,242382978955416960,Gaia DR2 242382978955416960,48.743204316802796,44.81504092932125,147.98937378790538,-10.960608387542068,58.70856675571816,25.755394073457673,5.5955650874400575,23.888962468232513,-24.517294008365475,17.121706,18.938524,15.811027,0.09699429956731812,0.07539860894017011,0.1234371584003471,0.25276795254143464,0.18443540970230343,,,,195.22331,0.24019475812614127,1.163415837253003,2.2038255,18,0,159,0,159,31,false,1.2726519507351481,0.023479472945879876,0.22881171,2.1525252,1.8168182,3.1274977,-0.20876849,0.21325876,0.2648117,false,,,,,0,1.3106794,,,,20,-0.0278853,45.331287,0.090553015,-0.1393912,367.4053438627771,10.846525774659089,33.87309,16,1.5621572,2670.939793984553,4.713256948010898,566.68665,177,0,3805.022442032511,21.102589672147754,180.31068,18,NOT_AVAILABLE,0.043334898,,0.034601726,,,,,,24926145,0.14770517,0.2488372,-0.24661261,2015.5,0,,,,1635721458409799680,,,,12,Gaia DR1 242382974657353088
242465575469107968,,242465575469107968,Gaia DR2 242465575469107968,48.95883780375207,45.288811565650285,147.86395594618597,-10.478447120318078,59.02406288380704,26.164296034916777,5.705250144528103,23.939062669232143,-24.9256389063996,15.746427,17.245996,14.533663,0.05348326228049594,0.0446630681971367,0.071916691314039,0.1456600219899506,0.11875400724394074,1.4243,2.472,1.84,306.63168,0.2553751031085326,5.336416105152383,5.5651217,21,1,185,0,186,31,false,1.3003595611077547,0.013666224194349385,0.1469167,6.5507917,1.4995699,2.7123337,-0.3790858,-0.22715774,-0.051889688,false,0.7575,1.244,0.9443,,0,1.2127638,,,,24,0.09383147,79.331375,0.29854116,0.19012156,1746.451684201122,16.963337289415037,102.95448,18,1.4859872,9479.28674270372,10.80570431910221,877.2484,202,0,12339.64648824473,32.79152361137162,376.30597,17,NOT_AVAILABLE,0.35673815,100001,0.2484278,,,,,,469275545,-0.005656895,0.012163572,-0.32082808,2015.5,0,,,,1635721458409799680,3519.0,4109.3066,3956.5469,11,Gaia DR1 242465575469107968
242493789115621248,,242493789115621248,Gaia DR2 242493789115621248,49.62000377204513,45.185853375281596,148.31940695978483,-10.315111274758873,59.48710130582301,25.93127794887039,5.789200608901592,24.014630969626168,-25.90422993621811,15.767696,17.25113,14.559407,0.04852886086324585,0.040863775561258364,0.06515695670134576,0.12796001024594306,0.12539648657319855,1.4659,2.07,1.6488,642.7806,0.3305704479810983,10.893601196755679,10.477923,35,1,310,0,311,31,false,1.2585799968690794,0.011823727365499066,0.14309841,4.941854,1.4834328,2.691722,-0.2680778,0.4237501,0.20907885,false,0.6912,1.0838,0.8783,,0,1.2082891,,,,37,0.0071692592,88.850075,-0.27413896,-0.049578868,1738.2167420575072,19.905171249535837,87.32488,35,1.4833935,9295.389524275075,16.75961496615692,554.63025,329,0,12050.504526236435,52.71667161890528,228.59001,34,VARIABLE,0.43972576,100001,0.4658882,,,,,,866786435,-0.120672405,0.24546294,-0.018730314,2015.5,0,,,,1635721458409799680,3233.6667,4114.487,3800.55,12,Gaia DR1 242493784813044608
242513094987245568,,242513094987245568,Gaia DR2 242513094987245568,49.24903974958011,45.347468477744286,148.0073355992127,-10.319722090576056,59.260599089063895,26.161221946697385,5.565388051214099,22.5348756750306,-24.470644466167954,18.274818,20.456036,16.888147,0.1692868143792295,0.14924928536982734,0.22251511260163137,0.4020337130881241,0.32853113394864214,,,,310.2559,0.6913513250090353,3.251485637949624,3.7623894,26,2,227,0,229,31,false,1.2113209636047413,0.04053212008467647,0.3729844,0.5034214,2.1812172,3.5678883,-0.32350412,0.12484185,0.19226438,false,,,,,0,1.3866711,,,,28,0.08372896,25.011282,0.2041793,0.087734856,90.8115695894435,5.168169388394091,17.571321,23,1.6262231,923.4614778042061,1.8538038799038432,498.1441,245,0,1410.942769281766,6.2701986543452355,225.02362,24,NOT_AVAILABLE,0.24238825,,0.29668218,,,,,,1143825281,0.052325197,0.27345803,-0.24034412,2015.5,0,,,,1635721458409799680,,,,12,Gaia DR1 242513094987245568
250324854522686848,,250324854522686848,Gaia DR2 250324854522686848,56.73261438006003,49.69068496623339,149.6353285860775,-3.8603473095293226,66.06819088286672,28.978508150843414,5.7722382144753315,21.55919136933704,-27.700636918628017,10.501652,10.830924,10.029714,0.03039040534976454,0.019835110824199115,0.0368674773259896,0.07489757920283471,0.06160841693365072,0.0939,0.3159,0.199,519.2257,0.0,0.0,9.128538,30,8,259,267,267,31,true,1.6074235189357298,0.007291943188112154,0.050772805,320.1098,0.32927227,0.8012104,-0.07133035,-0.10414138,-0.0429463,false,0.0459,0.168,0.0992,200111,0,0.47193813,1.3890152,1.4158947,1.402455,34,0.023793032,156.56721,-0.033892356,0.21367474,642962.5461457494,868.25624674496,740.52167,32,1.1993341,1187641.7522616717,560.2228826125048,2119.945,291,0,781416.7571472684,879.4161831627839,888.5631,32,NOT_AVAILABLE,0.1342801,100001,0.043018226,,,1.126256,1.1701548,1.156043,1074609957,0.15643504,-0.05690407,-0.3292211,2015.5,0,,,,1635721458409799680,5806.6665,5918.75,5842.0,13,Gaia DR1 250324850223865472
248322815647568512,,248322815647568512,Gaia DR2 248322815647568512,56.44715000901636,47.40639843551551,150.90159316736026,-5.77390046952868,65.22040252339588,26.812322389115383,5.699214562322821,21.272959200401782,-26.690374235706606,12.728121,13.302786,12.023293,0.025938537303469487,0.01742666154138022,0.030837830430161306,0.06340018059461935,0.04975469117083716,0.048,0.3491,0.211,285.6055,0.0,0.0,-0.8573784,36,6,312,300,318,31,true,1.5164461375462999,0.005741115878070219,0.046148762,216.73975,0.57466507,1.2794933,-0.11374059,0.107239984,0.12098011,false,0.0249,0.161,0.0847,200111,0,0.70482826,0.19953239,0.20310989,0.20132114,37,0.011560281,184.81244,-0.10746735,0.043663,65984.34471103355,357.0964001970917,184.7802,37,1.247227,152791.0796734815,245.22457070960132,623.0659,326,0,124580.80155465794,507.5973987235669,245.43231,37,NOT_AVAILABLE,0.19410293,100001,0.16486657,-1.0209346489306554,5.625926241270933,0.5663636,0.5908284,0.576415,1318159209,0.14032526,0.12744497,-0.17885049,2015.5,9,0.0,3.0,4000.0,1635721458409799680,5030.0,5137.49,5092.5,14,Gaia DR1 248322811353390208
248279556737342720,,248279556737342720,Gaia DR2 248279556737342720,55.77820175261175,46.892875226751514,150.856973628273,-6.4585192392114585,64.58492878885409,26.4277153282058,5.470442027253339,20.014664637436233,-26.24938189526589,16.66732,18.455011,15.379684,0.07738773708110794,0.05414466967333731,0.09759422721953327,0.21748089924281283,0.16144785714564608,1.4544,2.0793,1.7388,465.88834,0.44662229540933224,8.193129191936997,7.8037376,29,2,254,0,256,31,false,1.2736790587052946,0.015310538735208956,0.19626972,2.2273538,1.7876911,3.075327,0.0034002976,0.29742602,0.0572696,false,0.7439,1.1116,0.973,,0,1.2876358,,,,31,-0.03492542,56.052925,-0.026668178,-0.0010732465,573.5229190268,6.431597043180957,89.17271,25,1.5359814,4058.9909110151807,3.360628027458741,1207.8073,271,1,5661.0116143664245,9.128254421964806,620.16364,28,NOT_AVAILABLE,-0.0122650815,100002,0.14428498,,,,,,659200917,-0.022308594,0.11097673,-0.022620665,2015.5,0,,,,1635721458409799680,3383.5,4509.1875,3730.08,14,Gaia DR1 248279552437265152
248278418566454656,,248278418566454656,Gaia DR2 248278418566454656,56.210084585952906,47.13726313777042,150.9407092710385,-6.08501748296846,64.97154885486037,26.59122609548303,6.038812936255925,20.398477187141154,-27.520549412063048,17.959862,20.037203,16.576134,0.14028171651352267,0.09833057335245764,0.16787390943133443,0.32898409483222546,0.2563168677219575,,,,447.08865,0.7520156674319006,6.638171340544066,6.488264,31,0,273,0,273,31,false,1.224579460511413,0.032049108175798424,0.2947161,0.64876753,2.077341,3.461069,-0.13605791,0.17149843,0.19193451,false,,,,,0,1.383728,,,,33,-0.02082496,35.972313,-0.039021496,0.19382152,133.55926699636566,5.404090081775071,24.714478,28,1.6319579,1234.2461306210214,1.8690289582498032,660.36755,288,0,1880.6784322006765,7.88191509564564,238.60678,28,NOT_AVAILABLE,0.06143505,,0.1451298,,,,,,112161655,0.035135545,0.27796805,-0.17688374,2015.5,0,,,,1635721458409799680,,,,14,Gaia DR1 248278418566454656
248268870858699648,,248268870858699648,Gaia DR2 248268870858699648,55.90536485355687,46.87419614396528,150.93771794105191,-6.420240119792864,64.67370258836566,26.38795307085402,5.5402555656405275,20.756810774438563,-26.140078926463087,17.255453,19.128447,15.955073,0.10361169561853774,0.06626582380935325,0.12974253714672856,0.33242372807860326,0.20091495671165882,,,,437.58725,0.5048167051702298,5.730553787215771,6.8304977,29,0,257,0,257,31,false,1.2979061970683694,0.019815165278990587,0.2987412,1.3767594,1.8729935,3.1733732,-0.018603293,0.23739965,0.043200042,false,,,,,0,1.3003798,,,,30,-0.039908364,42.70192,0.08029411,-0.14838226,308.4440955851678,8.426770546056487,36.602882,29,1.541772,2361.3743385471494,2.8266841248194994,835.3867,264,0,3332.2568381787723,8.170181862855348,407.8559,28,NOT_AVAILABLE,-0.14463635,,0.16436289,,,,,,821769053,-0.13243647,0.061660662,0.13909101,2015.5,0,,,,1635721458409799680,,,,13,Gaia DR1 248268866558598656
