input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
49520255665123328,,49520255665123328,Gaia DR2 49520255665123328,64.87460904003395,21.753716322965953,174.04084822416138,-19.861220920269414,66.77338633728033,0.31756896965420606,20.904767546835917,109.07619542523288,-38.85147983698679,12.861299,14.253371,11.706774,0.07262060766450151,0.03177301037556187,0.07269225997312176,0.17228332986568584,0.09731528350131464,,,,1103.7795,0.15355831947730755,11.250997214006345,20.967218,32,9,273,237,282,31,true,1.3172624239956707,0.008768061769696661,0.10562155,32.119316,1.3920727,2.5465975,0.10122462,-0.45034495,0.09241614,false,,,,,0,1.1545248,,,,36,0.0026773866,287.579,0.13917789,0.259731,27492.027402904438,172.52922338406466,159.34708,36,1.4371763,135153.33030544026,164.3822568367473,822.1893,316,0,166747.14606194466,397.3171690311797,419.6827,36,VARIABLE,0.06041176,100001,0.20785652,,,,,,317315984,-0.05954637,0.18066274,-0.5328886,2015.5,0,,,,1635721458409799680,3615.1868,4180.68,3923.2148,10,
49729231594420096,,49729231594420096,Gaia DR2 49729231594420096,60.20378292460304,18.193881433255513,173.65390793496198,-25.50091797870484,61.80462474829647,-2.376391048701964,21.774900875267093,130.55206118775405,-27.555881938581194,5.790159,5.972767,5.5273857,0.07318587006961176,0.03840528186406999,0.08134638131782532,0.16550179987020944,0.09875156514896376,,,,2208.7024,0.21419777524852615,24.846751915639242,35.021084,37,19,293,312,312,31,true,1.7221095625807141,0.012012192544735366,0.09088388,18.906824,0.18260765,0.44538116,-0.18262418,0.62971514,0.15009439,false,,,,200111,0,0.2627735,7.441685,7.5114655,7.4765754,50,-0.099908315,267.68124,-0.27861616,0.13868049,5.6422017232471496E7,78309.91114797568,720.4965,37,1.162342,9.10505549860928E7,51070.01248203318,1782.8575,378,0,4.940986357962752E7,98088.05322510442,503.72968,40,NOT_AVAILABLE,0.16756164,100001,0.21695538,,,1.7135959,1.8882046,1.7890946,973062374,0.0074143047,0.18125062,-0.11045238,2015.5,0,,,,1635721458409799680,6945.8833,7291.1797,7135.6797,12,
51383893515451392,,51383893515451392,Gaia DR2 51383893515451392,59.8069645817941,20.428049120584145,171.59632079718884,-24.21772717735423,61.88207197043216,-0.11238332151626927,22.7348414300081,135.25527959947135,-36.764305820914196,12.570355,13.839513,11.468065,0.03888963080421241,0.021172948579946914,0.041767327389501556,0.09415504665172617,0.053258321965292045,0.0633,0.6381,0.2917,1206.4381,0.10073921896636939,5.515989887100567,21.397528,37,12,316,328,328,31,true,1.3051108429376534,0.007591306276265302,0.059815064,63.70606,1.2691574,2.3714476,0.056546267,0.4445113,0.084766395,true,0.035,0.3428,0.1517,,0,1.1022902,,,,40,-0.08370324,544.32117,-0.109342806,0.08876695,40248.54512511964,72.58112730827817,554.5318,38,1.4036083,176686.7871606428,76.67785405240058,2304.274,354,1,207750.4975154331,232.5965751119341,893.1795,39,NOT_AVAILABLE,0.054209396,100002,0.13642357,36.84001510468228,0.8502467305959897,,,,1390468914,0.11965863,0.106187396,-0.16806237,2015.5,13,0.0,3.0,4000.0,1635721458409799680,3604.3398,4129.947,4008.51,12,
145373377272257664,,145373377272257664,Gaia DR2 145373377272257664,66.06126789417974,21.73604857831852,174.82822198949125,-19.046349407293047,67.85755709417303,0.1181056401200612,23.107320168301555,117.53097609898691,-45.80593545896281,6.990021,7.27502,6.5947847,0.04140174055806597,0.024609152442504396,0.038553182803409636,0.09884297063837784,0.07477802561020754,0.0219,0.2747,0.082,717.32336,0.0,0.0,12.55307,34,2,301,303,303,31,true,1.6369629391576785,0.005717678122878511,0.07239836,141.88264,0.2849989,0.6802354,-0.060176577,-0.6546535,-0.35288128,true,0.013,0.154,0.0483,200111,0,0.3952365,2.186387,2.1972427,2.191815,44,0.086697325,599.3622,0.16941853,0.12775701,1.700384568994207E7,18798.792554589018,904.51794,38,1.1769885,3.0153500053211775E7,6762.4687312689375,4458.9487,342,0,1.8486475253434155E7,29702.282106872957,622.3924,39,NOT_AVAILABLE,0.4296862,100001,0.49674878,38.33665475162847,0.15721348105296762,1.2379018,1.3376234,1.2727097,959042316,0.058808584,-0.32209063,-0.5502415,2015.5,20,0.25,4.5,6250.0,1635721458409799680,6072.4,6312.25,6225.3335,11,
145391484855481344,,145391484855481344,Gaia DR2 145391484855481344,67.00371134679743,21.61972151814295,175.52535471600177,-18.459172567457333,68.70386148233432,-0.1354811882985412,19.976726591212678,96.61481814693245,-42.26153959758373,5.6432056,5.798594,5.430776,0.08985310931347053,0.04790331824976188,0.1164941655858163,0.2493307511491222,0.14530426981177494,0.5646,0.885,0.7593,2767.2515,0.27651152472739093,38.574930395808515,40.34138,39,28,305,333,333,31,true,1.728584153248554,0.013705221812423061,0.13419527,11.665164,0.15538836,0.36781788,0.40222147,-0.2586933,0.36146334,false,0.2915,0.4481,0.3975,200111,0,0.21242952,10.205291,10.347613,10.276452,45,0.01790547,171.48264,-0.02264881,0.43662044,6.623960919375976E7,60638.52928673584,1092.3683,38,1.1534854,1.0424713159658183E8,68634.22765080276,1518.8796,354,0,5.400794162085514E7,101957.60784594699,529.7098,38,NOT_AVAILABLE,-0.22769958,100001,0.21301755,,,1.8410406,1.9961133,1.932023,1605756448,-0.09125305,0.30141082,-0.29795337,2015.5,0,,,,1635721458409799680,7314.6665,7616.5,7435.0,10,
145325548516513280,,145325548516513280,Gaia DR2 145325548516513280,65.84350110378152,21.37893467308491,174.97234562040427,-19.43369178769592,67.5998160987029,-0.2014563900001355,19.881260716176914,99.53931451913171,-37.977624058394966,8.639102,9.035269,8.116479,0.044163011688453796,0.02392467921539575,0.046197648305670753,0.12421733856295396,0.07487594476236276,0.0143,0.1861,0.079,504.17578,0.0,0.0,8.593895,30,5,262,267,267,31,true,1.5940376014229973,0.007366973540010138,0.07936792,227.34874,0.3961668,0.91878986,-0.014399219,-0.6022004,0.17059438,true,0.0054,0.0921,0.0433,200111,0,0.52262306,0.67231125,0.6767561,0.67453367,36,-0.06401567,430.35223,0.26439878,-0.14310554,3360838.5620552246,4914.273107576432,683.8933,33,1.1984279,6602456.153051552,3122.4497998594916,2114.5115,294,1,4551729.550956267,5324.8383287931965,854.81085,35,NOT_AVAILABLE,-0.27029,100002,0.021309497,38.65632569060954,0.24944207020482187,0.8819502,0.94876224,0.90454274,198453026,0.11152111,0.13535802,-0.44357532,2015.5,9,0.0,4.5,5500.0,1635721458409799680,5370.3,5570.0,5500.0,10,
145484629809228544,,145484629809228544,Gaia DR2 145484629809228544,66.35475274052254,22.19979794375175,174.64753424480347,-18.536562704959657,68.20063031056506,0.5321680154814831,22.142920406163164,110.97001386285041,-47.30640222307553,5.194479,5.346833,4.9960685,0.21782832616821807,0.10392579862758014,0.259330990767661,0.7410565442469219,0.4527257499188234,,,,9792.604,0.6488990339719428,193.54902357738194,80.30482,30,16,245,261,261,31,true,1.8255672791051714,0.034290023091124916,0.38289213,2.1271799,0.15235424,0.35076475,-0.028991625,-0.42802456,0.3118054,true,,,,200111,0,0.19841051,12.499842,12.838013,12.668927,35,0.017201671,85.38478,0.03997853,-0.12536983,1.0042042265678774E8,66187.45013981487,1517.2124,27,1.1486174,1.5759943378400412E8,308687.44005224016,510.54697,290,0,8.06010332836687E7,327652.00673332735,245.99585,29,NOT_AVAILABLE,-0.39563376,100001,0.087495506,,,2.0347838,2.2098753,2.121842,1201252772,-0.54858273,0.23492861,-0.25477278,2015.5,0,,,,1635721458409799680,7325.3335,7634.0,7475.75,9,
145293181643038336,,145293181643038336,Gaia DR2 145293181643038336,66.57755528169878,21.470267339799133,175.37287508983965,-18.85739790075812,68.28895139825154,-0.220950456397946,20.670014485817077,103.24416919381181,-38.40750707603355,7.2235975,7.5159864,6.8228498,0.06917596555887477,0.04065979436462857,0.06588879869843339,0.14222314682515208,0.11212761482362475,0.026,0.3541,0.139,1482.7694,0.14578756269338033,9.914049563878162,25.263775,38,9,328,337,337,31,true,1.64088021082315,0.00937940425788748,0.09530179,30.679012,0.29238892,0.6931367,0.2123212,-0.6248747,-0.38802972,false,0.013,0.154,0.063,200111,0,0.40074778,2.2028012,2.2209988,2.2119,48,0.15133432,313.7106,0.029052895,-0.020865794,1.3619483715393363E7,11075.574115966685,1229.6865,43,1.1762831,2.431684426375808E7,4286.424651663577,5672.99,364,0,1.4984008685281465E7,21193.070022456697,707.024,36,NOT_AVAILABLE,0.5661579,100001,0.6589792,35.697236733184916,2.4057201535839194,1.279898,1.3223405,1.3032519,476440798,0.41196245,-0.33047542,-0.44234928,2015.5,23,0.25,4.5,6250.0,1635721458409799680,6121.3335,6222.0,6166.0,11,
145293181643038208,,145293181643038208,Gaia DR2 145293181643038208,66.58043838371653,21.468749149731465,175.37594020015476,-18.856353789780172,68.29136067494962,-0.22287376997839103,20.921576995197302,105.77045081888895,-40.279174107468265,15.087281,16.862635,13.789124,0.07490568244302538,0.04612408059898239,0.07357475077616192,0.17362878602831053,0.13682740053617365,0.1959,0.7279,0.308,771.0177,0.3573744643489456,18.43050220819466,15.103942,30,10,261,0,271,31,false,1.2535880733628275,0.013117984178756306,0.18040468,5.618296,1.7753534,3.0735111,-0.2605817,-0.4347893,-0.13304208,false,0.119,0.4051,0.183,,0,1.2981577,,,,34,0.15406202,284.35812,0.117393255,0.19935997,2486.0001232317945,17.202857008819077,144.51088,23,1.551178,17395.36985083636,19.77834043756633,879.5162,281,0,24497.313953212786,44.37939582350981,551.99744,22,NOT_AVAILABLE,0.5015044,100001,0.51302373,,,,,,1140357466,-0.22182396,0.0063426397,-0.2731298,2015.5,0,,,,1635721458409799680,3816.035,4732.5933,4344.07,10,
3313778207594395392,,3313778207594395392,Gaia DR2 3313778207594395392,66.81981669424533,17.24171572182765,178.97727716193174,-21.403581379050184,67.84810684095466,-4.432710650155107,21.743721080137597,107.68473717762664,-31.491815174650075,12.143844,13.300845,11.090819,0.04246623806588561,0.020944699227180823,0.04631050974726293,0.08259902010997368,0.057775599585136124,0.2129,0.821,0.352,754.5505,0.0,1.6747652892626936E-15,13.860084,34,16,287,294,303,31,true,1.3514198398304793,0.006531787083843078,0.05237908,331.55243,1.1570015,2.2100258,0.0062349136,-0.49286994,0.047696065,false,0.118,0.4103,0.191,,0,1.0530243,,,,35,0.06268165,469.52023,0.34480557,0.14051454,66102.40341707577,113.16396011859322,584.12946,30,1.3762369,261703.06007204886,99.93188657677575,2618.8145,300,0,294063.0189492127,327.5055746050629,897.8871,31,NOT_AVAILABLE,0.086965114,100001,0.18684383,40.369513075724385,0.40475763217681326,,,,890580645,0.3920631,0.19021253,-0.28672516,2015.5,14,0.0,3.0,4000.0,1635721458409799680,3832.1875,4086.785,4046.5923,12,
