Age BP RP G
5.0 7.524046 5.788372 6.646109
5.0 7.514559 5.780309 6.63754
5.0 7.439154 5.716244 6.569436
5.0 7.36474 5.653121 6.502275
5.0 7.291455 5.591038 6.436172
5.0 7.219006 5.529717 6.370841
5.0 7.147578 5.469315 6.30645
5.0 7.077091 5.40973 6.242907
5.0 7.007477 5.350892 6.18014
5.0 6.938747 5.292805 6.118158
5.0 6.870928 5.235481 6.056978
5.0 6.804065 5.178954 5.996638
5.0 6.738055 5.123128 5.93704
5.0 6.673169 5.06824 5.878433
5.0 6.607166 5.012817 5.819058
5.0 6.522322 4.944831 5.744738
5.0 6.437967 4.877046 5.670678
5.0 6.353904 4.809264 5.596682
5.0 6.269944 4.74142 5.522632
5.0 6.186054 4.673632 5.448591
5.0 6.10239 4.605984 5.374676
5.0 6.018905 4.538408 5.300832
5.0 5.935706 4.470947 5.227131
5.0 5.832363 4.388422 5.136299
5.0 5.724658 4.30235 5.041534
5.0 5.616855 4.215726 4.946346
5.0 5.509152 4.128591 4.850846
5.0 5.4017 4.040938 4.755096
5.0 5.293518 3.952459 4.658514
5.0 5.183886 3.862537 4.560406
5.0 5.073617 3.771502 4.461265
5.0 4.962489 3.679325 4.361022
5.0 4.856601 3.591385 4.2654
5.0 4.780928 3.529494 4.197584
5.0 4.627836 3.403908 4.060252
5.0 4.558886 3.346773 3.998091
5.0 4.513035 3.30874 3.956724
5.0 4.418519 3.229624 3.871053
5.0 4.316892 3.144238 3.778713
5.0 4.179144 3.028215 3.653163
5.0 4.082989 2.947189 3.565345
5.0 3.956595 2.84064 3.449589
5.0 3.819569 2.725164 3.324103
5.0 3.704753 2.627831 3.218803
5.0 3.613407 2.549928 3.134848
5.0 3.523268 2.47307 3.052057
5.0 3.442302 2.403794 2.97758
5.0 3.369081 2.340992 2.910149
5.0 3.296572 2.278872 2.843403
5.0 3.222712 2.214347 2.774702
5.0 3.14671 2.14632 2.703061
5.0 3.071882 2.079482 2.63256
5.0 3.008245 2.022236 2.572358
5.0 2.945384 1.965824 2.512942
5.0 2.882697 1.909658 2.45372
5.0 2.819438 1.853013 2.393958
5.0 2.749846 1.790423 2.328053
5.0 2.672228 1.720307 2.254369
5.0 2.596598 1.652189 2.182664
5.0 2.522391 1.585548 2.112399
5.0 2.449327 1.520128 2.043308
5.0 2.3482 1.429179 1.947459
5.0 2.30781 1.392893 1.909195
5.0 2.266136 1.355299 1.869631
5.0 2.223519 1.316855 1.829168
5.0 2.160671 1.260257 1.769537
5.0 2.105145 1.210212 1.716824
5.0 2.017401 1.13087 1.633376
5.0 1.917608 1.040354 1.538304
5.0 1.832507 0.962746 1.456998
5.0 1.756904 0.893538 1.384621
5.0 1.669017 0.812776 1.300315
5.0 1.616554 0.764458 1.249928
5.0 1.53489 0.688975 1.17135
5.0 1.52712 0.681731 1.163841
5.0 1.519996 0.675172 1.156999
5.0 1.475312 0.633763 1.113944
5.0 1.404843 0.568161 1.045889
5.0 1.323343 0.492224 0.967139
5.0 1.239175 0.41359 0.885696
5.0 1.137786 0.318449 0.787368
5.0 1.033722 0.220524 0.686296
5.0 0.962434 0.153208 0.616934
5.0 0.923329 0.116236 0.578861
